,id,date,comments,owner,likes_count,answers,sentiments
0,1.79E+16,2/9/2021 14:33,Long live the pandas of  Singapore !,"{'id': '1607261444', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/234538143_1663959180464132_3777137370496791668_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=_DjrnmOHwNsAX871MQL&edm=AMrZAGUBAAAA&ccb=7-4&oh=b81130105e89af211624b1b7d60cb444&oe=616CE6EA&_nc_sid=9fb510', 'username': 'suy_85'}",0,[],Positive
1,1.79E+16,26/8/2021 18:35,Congratulations Kai Kai and Jia Jia!  red heart  panda ,"{'id': '1414417800', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/45342118_366998204052671_200376270356217856_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=kIrqCnMntvAAX8DUtok&edm=AMrZAGUBAAAA&ccb=7-4&oh=3567b6a5d25a9caf830fd8ce3a991fb5&oe=616D6A99&_nc_sid=9fb510', 'username': 'intanfaradilaa'}",0,[],Neutral
2,1.79E+16,23/8/2021 0:44, red heart  red heart  red heart  red heart ,"{'id': '21268461751', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/241800586_263271548984746_5214871221178820809_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=7KXOIfb3C2MAX-BUotG&edm=AMrZAGUBAAAA&ccb=7-4&oh=493c5cb03b4ebb482960e9bea1b7036e&oe=616C0C9B&_nc_sid=9fb510', 'username': 'teck4468'}",0,[],Positive
3,1.79E+16,20/8/2021 12:59, smiling face with heart-eyes  panda  HBD  Singapore  birthday cake  wrapped gift  bottle with popping cork  clinking glasses  clinking glasses  Cheers! Singapore  Singapore  musical score  drum  guitar  trumpet  woman dancing  man dancing  smiling face with open hands ,"{'id': '740920834', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/11032905_638311039636901_1565549951_a.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=VJovCl0sV-oAX9FPnQ_&tn=Gk5nrAYr_sDdT6TD&edm=AMrZAGUBAAAA&ccb=7-4&oh=5472a3fdb6afa48b60d186fb0bf307eb&oe=616C744F&_nc_sid=9fb510', 'username': 'eugeneyts'}",0,[],Positive
4,1.78E+16,18/8/2021 23:34,PLEASE HELP AUSTRALIA SIR,"{'id': '33989253531', 'is_verified': False, 'profile_pic_url': 'https://instagram.fbdo6-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fbdo6-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ODYYrFqry0wAX940c_V&edm=ABmJApABAAAA&ccb=7-4&oh=2333424c3a14c1baeac28ed86fcf328e&oe=616CD88F&_nc_sid=6136e7&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'username': 'parminda233fde'}",0,[],Neutral
5,1.79E+16,18/8/2021 23:10,PLEASE HELP AUSTRALIA SIR,"{'id': '33989253531', 'is_verified': False, 'profile_pic_url': 'https://instagram.fbne5-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fbne5-1.fna.fbcdn.net&_nc_ohc=ODYYrFqry0wAX_vobss&edm=AEsR1pMBAAAA&ccb=7-4&oh=f5610e611ac03b2c3cb929bdcb15e647&oe=616CD88F&_nc_sid=3f45ac&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'username': 'parminda233fde'}",0,[],Neutral
6,1.80E+16,18/8/2021 14:49,Don't understand the agreement with China. I thought born in Singapore the cub should belong to us and stay here forever  frowning face ,"{'id': '6332732656', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/242588268_3866671240099112_3457789078278008558_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=cQkCZk6JTBwAX9Velmc&edm=AMrZAGUBAAAA&ccb=7-4&oh=96e0587a390e3d73c0003369bb9834b0&oe=616C950D&_nc_sid=9fb510', 'username': 'ileesumin'}",0,[],Negative
7,1.79E+16,18/8/2021 2:20, red heart  clapping hands ,"{'id': '23668633735', 'is_verified': False, 'profile_pic_url': 'https://instagram.fbne5-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fbne5-1.fna.fbcdn.net&_nc_ohc=ODYYrFqry0wAX_vobss&edm=AEsR1pMBAAAA&ccb=7-4&oh=f5610e611ac03b2c3cb929bdcb15e647&oe=616CD88F&_nc_sid=3f45ac&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'username': 'mdhabibur1968'}",0,[],Positive
8,1.79E+16,17/8/2021 17:27, clapping hands  clapping hands  clapping hands ,"{'id': '1240275463', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/118176002_248493346211127_4104993867263703512_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=7gM3X2wlpOQAX_o_Bzc&edm=AMrZAGUBAAAA&ccb=7-4&oh=98e7cdb9801bf0f5ffda161d160e7a0c&oe=616CD4E1&_nc_sid=9fb510', 'username': 'untamed_paths'}",0,[],Positive
9,1.79E+16,17/8/2021 15:56, smiling face with heart-eyes  smiling face with heart-eyes ,"{'id': '14828957', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/11356658_884336101602832_523448036_a.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=OI_VWTEkGFYAX9TDPaA&edm=AMrZAGUBAAAA&ccb=7-4&oh=b9ebf3c16e77c6bb0c94f808c0bcf775&oe=616D8B65&_nc_sid=9fb510', 'username': 'richardboo'}",0,[],Positive
10,1.82E+16,17/8/2021 14:34,Congrats to the the zoo and dedicated keeps and team for being a part of this precious new life.,"{'id': '3187003231', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/13102321_102751313473584_937335563_a.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=jyiRZ45DdtAAX_5ZPel&tn=Gk5nrAYr_sDdT6TD&edm=AMrZAGUBAAAA&ccb=7-4&oh=86e255ad2f480320b9aa91d59fc190c3&oe=616D8FA9&_nc_sid=9fb510', 'username': 'gp_mum'}",0,[],Positive
11,1.79E+16,17/8/2021 14:16, red heart ,"{'id': '4178989787', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/14553315_1817399621841061_433793286033899520_a.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=9N2l3pSCI3gAX9ZJBoq&edm=AMrZAGUBAAAA&ccb=7-4&oh=f140d11b23514a9dde05d3896739862f&oe=616D6C73&_nc_sid=9fb510', 'username': 'bamgelkee'}",0,[],Positive
