,id,created_at,comments,owner,likes_count,answers,sentiments
0,1.801893929229155e+16,2020-12-04 8:08:41,Stop perpetuating the covid lie and fear mongering,"{'id': '43873638321', 'is_verified': False, 'profile_pic_url': 'https://instagram.fixc8-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fixc8-1.fna.fbcdn.net&_nc_ohc=VkyMCsRZjzMAX8TACGQ&edm=AL4D0a4BAAAA&ccb=7-4&oh=946d6ee08542db0c728effcbb3a05544&oe=6176BBCF&_nc_sid=712cc3&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'username': 'littlewokeeeee'}",1,"[{'id': 17905189729897692, 'created_at': 1622645383, 'text': ""@littlewokeeeee awww you're so cute"", 'owner': {'id': '8205125727', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/150698627_717178418998990_2873012270846009996_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=pZDgM5AFoWcAX9S4SLy&tn=Gk5nrAYr_sDdT6TD&edm=AMrZAGUBAAAA&ccb=7-4&oh=797c975cbe0dc8ff591afa0f2d8e67fe&oe=617835EE&_nc_sid=9fb510', 'username': 'singapore_masklover'}, 'likes_count': 0}]",Negative
1,1.7889848104698036e+16,2020-10-16 10:17:07,"My journey 10 year in Singapore is coming to a close. Can I take this opportunity to thank all the Agencies and Functions, both in the Government and Private sectors, that are helping us to navigate this unprecedented public health crisis. Most especially the front line Health Care Professionals, who put their health at risk, so we, our families and the greater community, can be safe. Keep your game strong Singapore.  folded hands light skin tone ","{'id': '1681358792', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/243742041_4476697485720157_8898460133384508836_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=4p0lAqyPzAwAX93i4DN&edm=AMrZAGUBAAAA&ccb=7-4&oh=cd739a91a964fa8515cfbf9588ba5c95&oe=61775C11&_nc_sid=9fb510', 'username': 'davidlastbse'}",8,[],Positive
2,1.7881561348789486e+16,2020-10-08 9:29:23,Thank you very much for the hard work. We the Singapore salute you.,"{'id': '40239971524', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/205919604_314621600155132_6772238591598954557_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=KiXz1GcrO6EAX8-0KXh&edm=AMrZAGUBAAAA&ccb=7-4&oh=1d95d3dc45176b800a053ce84cdc0514&oe=61776EFF&_nc_sid=9fb510', 'username': 'elderlyman2020'}",0,[],Positive
3,1.7940885553392216e+16,2020-10-20 3:15:30,So Beautiful  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes ,"{'id': '6229422902', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/164153686_145311907410663_7458421558340360018_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=zgYco1FTYtUAX-P_7HN&edm=AMrZAGUBAAAA&ccb=7-4&oh=f3d2ce1ea4366c19a6c434f1e9f8312e&oe=617759E9&_nc_sid=9fb510', 'username': 'sunshinekeke123'}",0,[],Positive
4,1.7872493032995984e+16,2020-10-19 11:55:22,Then why not keep bus and mrt passengers group small also? Say 5 passengers per train cabin? And 5 passengers per bus if it is a single deck bus or 5 passengers on each deck if it is a double deck bus? Can or cannot? I am pretty sure not many of the passengers on the train and bus are from the same household.,"{'id': '397749715', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/108522584_957504918080108_3644112758242594125_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=O0euCHyfOwwAX80r2Uz&edm=AMrZAGUBAAAA&ccb=7-4&oh=278cd2a951886e9dbd464df046868456&oe=6177BFA9&_nc_sid=9fb510', 'username': 'mr.fatandbald'}",3,[],Neutral
5,1.794621272239928e+16,2020-12-04 8:08:03,Stop the emotional blackmail and control,"{'id': '43873638321', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=VkyMCsRZjzMAX8yYGpP&edm=AMrZAGUBAAAA&ccb=7-4&oh=7cb80c7017881465113c0091f05c22d2&oe=6176BBCF&_nc_sid=9fb510&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'username': 'littlewokeeeee'}",0,"[{'id': 17877240470009824, 'created_at': 1607873100, 'text': '@littlewokeeeee ???', 'owner': {'id': '33369671288', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/169716283_3587784834682896_5067941362243622804_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=MDPWusx3LT0AX-iJI1I&edm=AMrZAGUBAAAA&ccb=7-4&oh=d90cf492a9521912e4e40d44b12af6a4&oe=61765AE0&_nc_sid=9fb510', 'username': 'forestfaith'}, 'likes_count': 0}]",Negative
6,1.7933395729546888e+16,2021-05-21 7:09:58, smiling face with heart-eyes  smiling face with heart-eyes ,"{'id': '3631375332', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/59781814_322183721791899_3101484257688682496_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=zkB-jTJuohgAX-nADau&tn=Gk5nrAYr_sDdT6TD&edm=AMrZAGUBAAAA&ccb=7-4&oh=87bb95b7517d27004eddafb712677a41&oe=6176A511&_nc_sid=9fb510', 'username': 'mr.setiyono'}",0,[],Positive
7,1.791132103381616e+16,2021-05-15 23:31:31,Pity this lasted so little and the gov could not get 20 cases under control...,"{'id': '1565254363', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/124240411_697889544479118_7805135915368236812_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=Zus3JZUvzkMAX-Oscwu&edm=AMrZAGUBAAAA&ccb=7-4&oh=dacaa5cf8cc49ec124eae6f4b073d2d1&oe=6176AC1C&_nc_sid=9fb510', 'username': 'marcodogliani'}",0,[],Negative
8,1.7868778379096754e+16,2020-12-04 8:07:45,Stay out of private citizens lives,"{'id': '43873638321', 'is_verified': False, 'profile_pic_url': 'https://instagram.fhyd2-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.fhyd2-2.fna.fbcdn.net&_nc_ohc=VkyMCsRZjzMAX-6h7kq&edm=ALlQn9MBAAAA&ccb=7-4&oh=7b022fa80005c76c110e8fd203c32d8b&oe=6176BBCF&_nc_sid=48a2a6&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4', 'username': 'littlewokeeeee'}",2,[],Neutral
9,1.785514912132808e+16,2020-11-05 4:19:13,Ok boomer,"{'id': '15404829047', 'is_verified': False, 'profile_pic_url': 'https://instagram.fsin9-2.fna.fbcdn.net/v/t51.2885-19/s150x150/120201747_1630498653794099_4307399575652252800_n.jpg?_nc_ht=instagram.fsin9-2.fna.fbcdn.net&_nc_ohc=_0U_jQlb4ewAX80r-yy&edm=AMrZAGUBAAAA&ccb=7-4&oh=989c52c05397393261d6c801026d66d3&oe=61782C0D&_nc_sid=9fb510', 'username': 'goodmikdoodles'}",0,[],Neutral
